id,name
54101201,Anísio Teixeira
54101201,Flávio Bolsonaro
54101201,Jair Bolsonaro
54101201,Abraham Weintraub
54103145,George Floyd
54103145,Thomas Lane
54103145,Derek Chauvin
54103145,Chuavin
54103145,Tou Thao
54103145,Alexander Kueng
54103773,Donald Trump
54103773,Ines Pohl
54103973,Donald Trump
54103973,Bruce Dart
54103973,Kayleigh McEnany
54104438,Jair Bolsonaro
54083467,Norbert Brackmann
54083467,Walter Krombach
54083467,Ivan Lytvynenko
54105851,Aleksandar Vucic
54105851,Slobodan Milosevic
54105851,Ana Brnabic
54105851,Zoran Loncar
54105851,Bosko Obradovic
54105851,Sergej Trifunovic
54098207,Martin Fassnacht
54114610,Tedros Adhanom Ghebreyesus
54114610,Helen Clark
54114610,Ellen Johnson Sirleaf
54114610,Donald Trump
54111163,Thomas Haldenwang
54111163,Horst Seehofer
54111163,Walter Lübcke
54115035,Angela Merkel
54115035,Beethoven
54115736,Guillain - Barre
54115736,Michael Zandi
54117139,Park Won
54117139,soon
54117139,Moon Jae - in
54116953,Donald Trump
54116953,Richard Nixon
54116953,Neil Gorsuch
54116953,Brett Kavanaugh
54116953,John Roberts
54116953,Mazars
54116953,Stormy Daniels
54116953,Karen McDougal
54116953,Cyrus Vance
54118269,Hamilton Mourão
54118269,Jair Bolsonaro
54118269,Ricardo Salles
54118269,Walter Souza Braga Netto
54118269,Tereza Cristina
54118269,Ernesto Araújo
54118269,Fábio Farias
54118269,Roberto Campos Neto
54118269,Sergio Segovia
54118695,Jair Bolsonaro
54118780,Dias Toffoli
54118780,Humberto Jacques de Medeiros
54118780,Rodrigo Maia
54118780,Davi Alcolumbre
54118780,Lindora Araújo
54118780,Augusto Aras
54118873,João Otávio de Noronha
54118873,Fabrício Queiroz
54118873,Márcia Aguiar
54118873,Flávio Bolsonaro
54118873,Jair Bolsonaro
54118873,Araújo
54118873,Frederick Wassef
54118873,Paulo Marinho
54118873,Michelle Bolsonaro
54118873,Nathalia Melo de Queiroz
54121522,Bill de Blasio
54121522,Donald Trump
54121522,Chirlane McCray
54121522,Al Sharpton
